institution,institution_type,province,city,url,clean_url,,
University of Calgary,university - U15,AB,Calgary,www.ucalgary.ca,ucalgary.ca,,
Alberta University of the Arts,university,AB,Calgary,https://acad.ca/,acad.ca,,
Ambrose University,university,AB,Calgary,https://ambrose.edu/,ambrose.edu,,
Athabasca University,university,AB,Athabasca,https://www.athabascau.ca/,athabascau.ca,,
Bow Valley College,university,AB,Calgary,http://www.bowvalleycollege.ca/,bowvalleycollege.ca,,
Burman University,university,AB,Lacombe,http://www.cauc.ca/,cauc.ca,,
Concordia University of Edmonton,university,AB,Edmonton,http://www.concordia.ab.ca/,concordia.ab.ca,,
Grande Prairie Regional College,college,AB,Grande Prairie,https://www.gprc.ab.ca/,gprc.ab.ca,,
Keyano College,college,AB,Fort MacMurray,https://www.keyano.ca/,keyano.ca,,
Lakeland College,college,AB,Lloydminster,https://www.lakelandcollege.ca/,lakelandcollege.ca,,
Lethbridge College,college,AB,Lethbridge,http://www.lethbridgecollege.ca/,lethbridgecollege.ca,,
MacEwan University,university,AB,Edmonton,http://www.macewan.ca/,macewan.ca,,
Medicine Hat College,college,AB,Medicine Hat,https://www.mhc.ab.ca/,mhc.ab.ca,,
Mount Royal University,university,AB,Calgary,https://www.mtroyal.ca/,mtroyal.ca,,
NAIT - Northern Alberta Institute of Technology,polytechnic,AB,Edmonton,http://www.nait.ca/,nait.ca,,
NorQuest College,college,AB,Edmonton,http://www.norquest.ca/,norquest.ca,,
Northern Lakes College,college,AB,Slave Lake,https://www.northernlakescollege.ca/,northernlakescollege.ca,,
Olds College,college,AB,Olds,https://www.oldscollege.ca/,oldscollege.ca,,
Portage College,college,AB,Lac La Biche,http://www.portagecollege.ca/,portagecollege.ca,,
Red Deer College,college,AB,Red Deer,https://rdc.ab.ca/,rdc.ab.ca,,
St. Mary's University,university,AB,Calgary,https://www.stmu.ca/,stmu.ca,,
SAIT Polytechnic - Southern Alberta Institute of Technology,polytechnic,AB,Calgary,https://www.sait.ca/,sait.ca,,
The King's University,university,AB,Edmonton,https://www.kingsu.ca/,kingsu.ca,,
University of Alberta,university - U15,AB,Edmonton,https://www.ualberta.ca/,ualberta.ca,,
University of Lethbridge,university,AB,Lethbridge,https://www.uleth.ca/,uleth.ca,,
British Columbia Institute of Technology,polytechnic,BC,New Westminster,http://www.bcit.ca/,bcit.ca,,
Camosun College,college,BC,Victoria,http://www.camosun.bc.ca/,camosun.bc.ca,,
Capilano University,university,BC,Vancouver,http://www.capilanou.ca/,capilanou.ca,,
Coast Mountain College,college,BC,Terrace,https://www.coastmountaincollege.ca/,coastmountaincollege.ca,,
College of New Caledonia,college,BC,Prince George,http://www.cnc.bc.ca/,cnc.bc.ca,,
College of the Rockies,college,BC,Cranbrook,http://www.cotr.bc.ca/,cotr.bc.ca,,
Douglas College,college,BC,New Westminster,https://www.douglascollege.ca/,douglascollege.ca,,
Emily Carr University of Art and Design,university,BC,Vancouver,http://www.ecuad.ca/,ecuad.ca,,
Justice Institute of British Columbia,college,BC,New Westminster,http://www.jibc.ca/,jibc.ca,,
Kwantlen Polytechnic University,polytechnic,BC,Surrey,http://www.kwantlen.bc.ca/,kwantlen.bc.ca,,
Langara College,college,BC,Vancouver,http://www.langara.bc.ca/,langara.bc.ca,,
Nicola Valley Institute of Technology,polytechnic,BC,Merritt,http://www.nvit.ca/,nvit.ca,,
North Island College,college,BC,Courtenay,http://www.nic.bc.ca/,nic.bc.ca,,
Northern Lights College,college,BC,Dawson Creek,http://www.nlc.bc.ca/,nlc.bc.ca,,
Okanagan College,college,BC,Kelowna,http://www.okanagan.bc.ca/,okanagan.bc.ca,,
Royal Roads University,university,BC,Victoria,http://www.royalroads.ca/,royalroads.ca,,
Selkirk College,college,BC,Kaslo,http://www.selkirk.bc.ca/,selkirk.bc.ca,,
Simon Fraser University,university,BC,Burnaby,http://www.sfu.ca/,sfu.ca,,
Thompson Rivers University,university,BC,Kamloops,http://www.tru.ca/,tru.ca,,
University of British Columbia,university - U15,BC,Vancouver,http://www.ubc.ca/,ubc.ca,,
University of Northern British Columbia,university,BC,Prince George,http://www.unbc.ca/,unbc.ca,,
University of the Fraser Valley,university,BC,Abbotsford,http://www.ufv.ca/,ufv.ca,,
University of Victoria,university,BC,Victoria,http://www.uvic.ca/,uvic.ca,,
Vancouver Community College,college,BC,Vancouver,http://www.vcc.ca/,vcc.ca,,
Vancouver Island University,university,BC,Nanaimo,http://www.viu.ca/,viu.ca,,
Briercrest College and Seminary,college,SK,Caronport,https://www.briercrest.ca/,briercrest.ca,,
Campion College,college,SK,Regina,https://www.campioncollege.ca/,campioncollege.ca,,
Carlton Trail College,college,SK,Humboldt,https://www.carltontrailcollege.com/,carltontrailcollege.com,,
College of Emmanuel and St. Chad,college,SK,Saskatoon,https://www.usask.ca/stu/emmanuel/,usask.ca,,
Cumberland College,college,SK,Nipawin,https://www.cumberlandcollege.sk.ca/,cumberlandcollege.sk.ca,,
First Nations University of Canada,university,SK,Regina,http://www.fnuniv.ca/,fnuniv.ca,,
