university,control,city,state,carnegie
Air Force Institute of Technology Graduate School of Engineering & Management,Public,Wright-Patterson AFB,OH,r2
American University,Private (non-profit),Washington,DC,r2
Arizona State University Downtown Phoenix campus,Public,Phoenix,AZ,r2
Arizona State University SkySong campus,Public,Scottsdale,AZ,r2
Arkansas State University,Public,Jonesboro,AR,r2
Azusa Pacific University,Private (non-profit),Azusa,CA,r2
Ball State University,Public,Muncie,IN,r2
Baylor University,Private (non-profit),Waco,TX,r2
Boise State University,Public,Boise,ID,r2
Bowling Green State University,Public,Bowling Green,OH,r2
Brigham Young University,Private (non-profit),Provo,UT,r2
Catholic University of America,Private (non-profit),Washington,DC,r2
Central Michigan University,Public,Mount Pleasant,MI,r2
Chapman University,Private (non-profit),Orange,CA,r2
Claremont Graduate University,Private (non-profit),Claremont,CA,r2
Clark Atlanta University,Private (non-profit),Atlanta,GA,r2
Clark University,Private (non-profit),Worcester,MA,r2
Clarkson University,Private (non-profit),Potsdam,NY,r2
Cleveland State University,Public,Cleveland,OH,r2
College of William and Mary,Public,Williamsburg,VA,r2
Colorado School of Mines,Public,Golden,CO,r2
CUNY City College,Public,New York,NY,r2
Delaware State University,Public,Dover,DE,r2
DePaul University,Private (non-profit),Chicago,IL,r2
Duquesne University,Private (non-profit),Pittsburgh,PA,r2
East Carolina University,Public,Greenville,NC,r2
East Tennessee State University,Public,Johnson City,TN,r2
Eastern Michigan University,Public,Ypsilanti,MI,r2
Florida Agricultural and Mechanical University,Public,Tallahassee,FL,r2
Florida Atlantic University,Public,Boca Raton,FL,r2
Florida Institute of Technology,Private (non-profit),Melbourne,FL,r2
Fordham University,Private (non-profit),Bronx,NY,r2
Gallaudet University,Private (non-profit),Washington,DC,r2
Georgia Southern University,Public,Statesboro,GA,r2
Hampton University,Private (non-profit),Hampton,VA,r2
Howard University,Private (non-profit),Washington,DC,r2
Idaho State University,Public,Pocatello,ID,r2
Illinois Institute of Technology,Private (non-profit),Chicago,IL,r2
Illinois State University,Public,Normal,IL,r2
Indiana University – Purdue University Indianapolis,Public,Indianapolis,IN,r2
Jackson State University,Public,Jackson,MS,r2
