school_name,url,city,state
University of Alaska,https://alaska.edu,Anchorage,AK
Alaska Christian College,https://alaskacc.edu,Soldotna,AK
National Park Community College,https://npcc.edu,Hot Springs National Park,AK
University of Alaska Fairbanks,https://uaf.edu,Fairbanks,AK
University of Arkansas - Fort Smith,https://uafs.edu,Fort Smith,AK
Alabama A&M University,https://aamu.edu,Huntville,AL
Athens State University,https://athens.edu,Athens,AL
Auburn University,https://auburn.edu,Auburn,AL
Auburn University at Montgomery,https://aum.edu,Montgomery,AL
Birmingham-Southern College,https://bsc.edu,Birmingham,AL
Calhoun Community College,https://calhoun.edu,Decatur,AL
Enterprise State Community College,https://escc.edu,Enterprise,AL
Faulkner State Community College,https://faulknerstate.edu,Bay Minette,AL
Gadsden State Community College,https://gadsdenstate.edu,Gadsden,AL
Huntingdon College,https://huntingdon.edu,Montgomery,AL
Jacksonville State University,https://jsu.edu,Jacksonville,AL
Lurleen B. Wallace Community College,https://lbwcc.edu,Andalusia,AL
University of Montevallo,https://montevallo.edu,Montevallo,AL
Northeast Alabama Community College,https://nacc.edu,Rainsville,AL
Northwest-Shoals Community College,https://nwscc.edu,Muscle Shoals,AL
Oakwood University,https://oakwood.edu,Huntsville,AL
Samford University,https://samford.edu,Birmingham,AL
Southeastern Bible College,https://sebc.edu,Birmingham,AL
University of South Alabama,https://southalabama.edu,Mobile,AL
Trenholm State Technical College,https://trenholmstate.edu,Montgomery,AL
Troy University,https://troy.edu,Troy,AL
Tuskegee University,https://tuskegee.edu,Tuskegee,AL
University of Alabama,https://ua.edu,Tuscaloosa,AL
University of Alabama at Birmingham,https://uab.edu,Birmingham,AL
University of Alabama in Huntsville,https://uah.edu,Huntsville,AL
University of North Alabama,https://una.edu,Florence,AL
Snead State Community College,https://snead.edu,Boaz,AL
Arkansas Northeastern College,https://anc.edu,Blytheville,AR
Arkansas State University,https://astate.edu,Jonesboro,AR
Arkansas Tech University,https://atu.edu,Russellville,AR
Central Baptist College,https://cbc.edu,Conway,AR
Harding University,https://harding.edu,Searcy,AR
Hendrix College,https://hendrix.edu,Conway,AR
Henderson State University,https://hsu.edu,Arkadelphia,AR
John Brown University,https://jbu.edu,Siloam Springs,AR
Lyon College,https://lyon.edu,Batesville,AR
Mid-South Community College,https://midsouthcc.edu,West Memphis,AR
North Arkansas College,https://northark.edu,Harrison,AR
Northwest Arkansas Community College,https://nwacc.edu,Bentonville,AR
Northwest Technical Institute,https://nwti.edu,Springdale,AR
Ouachita Baptist University,https://obu.edu,Arkadelphia,AR
University of the Ozarks,https://ozarks.edu,Clarksville,AR
Phillips Community College U of A,https://pccua.edu,Helena-West Helena,AR
Pulaski Technical College,https://pulaskitech.edu,North Little Rock,AR
Southern Arkansas University Magnolia,https://saumag.edu,Magnolia,AR
Southeast Arkansas College,https://seark.edu,Pine Bluff,AR
University of Arkansas Community College Batesville,https://uaccb.edu,Batesville,AR
University of Arkansas at Little Rock,https://ualr.edu,Little Rock,AR
University of Arkansas for Medical Sciences,https://uams.edu,Little Rock,AR
University of Arkansas at Pine Bluff,https://uapb.edu,Pine Bluff,AR
University of Arkansas,https://uark.edu,Fayetteville,AR
University of Central Arkansas,https://uca.edu,Conway,AR
Williams Baptist College,https://wbcoll.edu,Walnut Ridge,AR
University of Arizona,https://arizona.edu,Tucson,AZ
Arizona State University,https://asu.edu,Tempe,AZ
Arizona Western College,https://azwestern.edu,Yuma,AZ
Bryan University,https://bryanuniversity.edu,Tempe,AZ
Central Arizona College,https://centralaz.edu,Coolidge,AZ
Glendale Community College,https://gccaz.edu,Glendale,AZ
Grand Canyon University,https://gcu.edu,Phoenix,AZ
Maricopa Community Colleges,https://maricopa.edu,Phoenix,AZ
Mesa Community College,https://mesacc.edu,Mesa,AZ
Northern Arizona University,https://nau.edu,Flagstaff,AZ
Northland Pioneer College,https://npc.edu,(multiple locations),AZ
University of Phoenix,https://phoenix.edu,Tempe,AZ
Phoenix College,https://phoenixcollege.edu,Phoenix,AZ
Pima Community College,https://pima.edu,Tucson,AZ
Prescott College,https://prescott.edu,Prescott,AZ
Rio Salado College,https://riosalado.edu,Tempe,AZ
South Mountain Community College,https://southmountaincc.edu,Pheonix,AZ
University of Advancing Technology,https://uat.edu,Tempe,AZ
Yavapai College,https://yc.edu,Prescott,AZ
Academy of Arts University,https://academyart.edu,San Francisco,CA
Adance Computing Institute,https://advancedcomputinginstitute.edu,Los Angeles,CA
Acupuncture & Integrative Medicine College,https://aimc.edu,Berkeley,CA
Alliant International University,https://alliant.edu,Alhambra,CA
Allied American University,https://allied.edu,Laguna Hills,CA
Anaheim University,https://anaheim.edu,Anaheim,CA
Angeles College,https://angelescollege.edu,Los Angeles,CA
Antioch University Los Angeles,https://antiochla.edu,Culver City,CA
Argosy University,https://argosy.edu,(multiple locations),CA
Art Center College of Design,https://artcenter.edu,Pasadena,CA
The Art Institute,https://artinstitutes.edu,(multiple locations),CA
Ashford University,https://ashford.edu,San Diego,CA
ATI College,https://ati.edu,Norwalk,CA
Antelope Valley College,https://avc.edu,Lancaster,CA
Bakersfield College,https://bakersfieldcollege.edu,Bakersfield,CA
Barstow Community College,https://barstow.edu,Barstow,CA
Berkeley University of California,https://berkeley.edu,Berkeley,CA
Berkeley City College,https://berkeleycitycollege.edu,Berkeley,CA
Brandman University,https://brandman.edu,Irvine,CA
Butte College,https://butte.edu,Oroville,CA
Cabrillo College,https://cabrillo.edu,Aptos,CA
California Institute of the Arts,https://calarts.edu,Valencie,CA
California Baptist University,https://calbaptist.edu,Riverside,CA
California Lutheran University,https://callutheran.edu,Thousand Oaks,CA
California Miramar University,https://calmu.edu,San Diego,CA
California Polytechnic State University,https://calpoly.edu,San Luis Obispo,CA
California State University,https://calstate.edu,Long Beach,CA
California Institute of Technology,https://caltech.edu,Pasadena,CA
Canada College,https://canadacollege.edu,Redwood City,CA
College of the Canyons,https://canyons.edu,Santa Clarita,CA
California College of the Arts,https://cca.edu,San Francisco,CA
California Community Colleges Chanellor's Office,https://cccco.edu,Sacramento,CA
City College of San Francisco,https://ccsf.edu,San Francisco,CA
Cerritos College,https://cerritos.edu,Norwalk,CA
Cerro Coso Community College,https://cerrocoso.edu,Ridgecrest,CA
Claremont Graduate University,https://cgu.edu,Claremont,CA
Chaffey College,https://chaffey.edu,Rancho Cucamonga,CA
Chapman University,https://chapman.edu,Orange,CA
California Institute of Integral Studies,https://ciis.edu,San Francisco,CA
Citrus College,https://citruscollege.edu,Glendora,CA
The Claremont Colleges,https://claremont.edu,Claremont,CA
Claremont McKenna College,https://cmc.edu,Claremont,CA
Copper Mountain College,https://cmccd.edu,(multiple locations),CA
Cogswell Polytechnical College,https://cogswell.edu,Sunnyvale,CA
College of San Mateo,https://collegeofsanmateo.edu,San Mateo,CA
College of the Desert,https://collegeofthedesert.edu,Palm Desert,CA
El Camino College Compton Center,https://compton.edu,Compton,CA
Contra Costa College,https://contracosta.edu,San Pablo,CA
College of the Sequoias,https://cos.edu,Visalia,CA
Crafton Hills College,https://craftonhills.edu,Yucaipa,CA
California State University Bakersfield,https://csub.edu,Bakersfield,CA
California State University Channel Islands,https://csuci.edu,Camarillo,CA
California State University Dominguez Hills,https://csudh.edu,Carson,CA
California State University East Bay,https://csueastbay.edu,Hayward,CA
Fresno State,https://fresnostate.edu,Fresno,CA
California State University Long Beach,https://csulb.edu,Long Beach,CA
California State University Monterey Bay,https://csumb.edu,Seaside,CA
California State University Northridge,https://csun.edu,Northridge,CA
California State Polytechnic University Pomona,https://csupomona.edu,Pomona,CA
California State University Sacramento,https://csus.edu,Sacramento,CA
California State University San Bernardino,https://csusb.edu,San Bernardino,CA
California State University San Marcos,https://csusm.edu,San Marcos,CA
California State University Stanislaus,https://csustan.edu,Stanislaus,CA
Cuesta College,https://cuesta.edu,San Luis Obispo,CA
Cuyamaca College,https://cuyamaca.edu,El Cajon,CA
California Western School of Law San Diego,https://cwsl.edu,San Diego,CA
Cypress College,https://cypresscollege.edu,Cypress,CA
DeAnza College,https://deanza.edu,Cupertino,CA
San Joaquin Delta College,https://deltacollege.edu,Stockton,CA
Dominican University of California,https://dominican.edu,San Rafael,CA
Dominican School of Philosophy and Theology,https://dspt.edu,Berkeley,CA
Diablo Valley College,https://dvc.edu,Pleasant Hill,CA
East Los Angeles College,https://elac.edu,Monterey Park,CA
El Camino College,https://elcamino.edu,Torrance,CA
Ex'pression College,https://expression.edu,San Jose,CA
Foothill-De Anza Community College District,https://fhda.edu,Los Altos Hills,CA
Fashion Institute of Design & Merchandising,https://fidm.edu,San Francisco,CA
Fielding Graduate University,https://fielding.edu,Santa Barbara,CA
Foothill College,https://foothill.edu,Los Altos Hills,CA
Fresno Pacific University,https://fresno.edu,Fresno,CA
Fresno City College,https://fresnocitycollege.edu,Fresno,CA
Frederick Taylor University,https://ftu.edu,Moraga,CA
Fullerton College,https://fullcoll.edu,Fullerton,CA
Fuller Theological Seminary,https://fuller.edu,Pasadena,CA
California State University Fullerton,https://fullerton.edu,Fullerton,CA
Gavilan College,https://gavilan.edu,Gilroy,CA
Golden Gate Baptist Theological Seminary,https://ggbts.edu,Mill Valley,CA
Glendale Community College,https://glendale.edu,Glendale,CA
Gnomon School of Visual Effects,https://gnomon.edu,Hollywood,CA
Columbia College,https://gocolumbia.edu,Sonora,CA
Golden West College,https://goldenwestcollege.edu,Huntington Beach,CA
Grossmont College,https://grossmont.edu,El Cajon,CA
Allan Hancock College,https://hancockcollege.edu,Santa Maria,CA
Hartnell College,https://hartnell.edu,Salinas,CA
Henley-Putnam University,https://henley-putnam.edu,Santa Clara,CA
Harvey Mudd College,https://hmc.edu,Claremont,CA
Holy Names University,https://hnu.edu,Oakland,CA
Humboldt State University,https://humboldt.edu,Arcata,CA
Humphreys College,https://humphreys.edu,Stockton,CA
Imperial Valley College,https://imperial.edu,Imperial,CA
International Sports Sciences Association,https://issaonline.edu,Carpinteria,CA
International Technological University,https://itu.edu,San Jose,CA
Irvine Valley College,https://ivc.edu,Irvine,CA
William Jessup University,https://jessup.edu,Rocklin,CA
John F. Kennedy University,https://jfku.edu,Pleasant Hill,CA
Keck Graduate Institute,https://kgi.edu,Claremont,CA
Mount Saint Mary's College,https://la.edu,Los Angeles,CA
Los Angeles Community College District,https://laccd.edu,Los Angeles,CA
Los Angeles City College,https://lacitycollege.edu,Los Angeles,CA
Los Angeles Harbor College,https://lahc.edu,Wilmington,CA
Los Angeles Mission College,https://lamission.edu,Sylmar,CA
Laney College,https://laney.edu,Oakland,CA
Los Angeles Southwest College,https://lasc.edu,Los Angeles,CA
La Sierra University,https://lasierra.edu,Riverside,CA
Las Positas College,https://laspositascollege.edu,Livermore,CA
Los Angeles Trade-Tech Community College,https://lattc.edu,Los Angeles,CA
Laurus College,https://lauruscollege.edu,Santa Maria,CA
Los Angeles Valley College,https://lavc.edu,Valley Glen,CA
University of La Verne,https://laverne.edu,La Verne,CA
UCLA School of Law,https://ucla.edu,Los Angeles,CA
Long Beach City College,https://lbcc.edu,Long Beach,CA
Life Chiropractic College West,https://lifewest.edu,Hayward,CA
Loma Linda University,https://llu.edu,Loma Linda,CA
Loyola Marymount University,https://lmu.edu,Los Angeles,CA
Los Medanos College,https://losmedanos.edu,Pittsburg,CA
Los Rios Community College District,https://losrios.edu,Sacramento,CA
Lake Tahoe Community College,https://ltcc.edu,South Lake Tahoe,CA
College of Marin,https://marin.edu,Kentfield,CA
Marymount California University,https://marymountcalifornia.edu,Rancho Palos Verdes,CA
The Master's College,https://masters.edu,Santa Clarita,CA
Merced Community College,https://mccd.edu,Merced,CA
Mills College,https://mills.edu,Oakland,CA
MiraCosta College,https://miracosta.edu,Oceanside,CA
Modesto Junior College,https://mjc.edu,Modesto,CA
Mount San Jacinto College,https://msjc.edu,(multiple locations),CA
Mount San Antonio College,https://mtsac.edu,Walnut,CA
Napa Valley College,https://napavalley.edu,Napa,CA
Notre Dame de Namur University,https://ndnu.edu,Belmont,CA
NewSchool of Architecture and Design,https://newschoolarch.edu,San Diego,CA
Norco College,https://norcocollege.edu,Norco,CA
Naval Postgraduate School,https://nps.edu,Monterey,CA
Ohlone College,https://ohlone.edu,Fremont,CA
Orange Coast College,https://orangecoastcollege.edu,Costa Mesa,CA
Otis College of Art and Design,https://otis.edu,Los Angeles,CA
Occidental College,https://oxy.edu,Los Angeles,CA
University of the Pacific,https://pacific.edu,Stockton,CA
Pacific College of Oriental Medicine,https://pacificcollege.edu,San Diego,CA
Palomar College,https://palomar.edu,San Marcos,CA
Pasadena City College,https://pasadena.edu,Pasadena,CA
Pepperdine University,https://pepperdine.edu,Malibu,CA
Peralta Community College District,https://peralta.edu,Oakland,CA
Pierce College,https://piercecollege.edu,Woodland Hills,CA
Pitzer College,https://pitzer.edu,Claremont,CA
Pacific Lutheran Theological Seminary,https://plts.edu,Berkeley,CA
Point Loma Nazarene University,https://pointloma.edu,San Diego,CA
Pomona College,https://pomona.edu,Claremont,CA
Porterville College,https://portervillecollege.edu,Porterville,CA
Pacific School of Religion,https://psr.edu,Berkeley,CA
Riverside City College,https://rcc.edu,Riverside,CA
Riverside Community College District,https://rccd.edu,Riverside,CA
University of Redlands,https://redlands.edu,Redlands,CA
College of the Redwoods,https://redwoods.edu,Eureka,CA
Rio Hondo College,https://riohondo.edu,Whittier,CA
Rosemead College,https://rosemeadcollege.edu,Rosemead,CA
Santa Ana College,https://sac.edu,Santa Ana,CA
Saddleback College,https://saddleback.edu,Mission Viejo,CA
University of San Diego,https://sandiego.edu,San Diego,CA
Santa Rosa Junior College,https://santarosa.edu,Santa Rosa,CA
Santa Barbara City College,https://sbcc.edu,Santa Barbara,CA
School of Continuing Education,https://sce.edu,Anaheim,CA
Scripps College,https://scrippscollege.edu,Claremont,CA
Santa Clara University,https://scu.edu,Santa Clara,CA
Southern California University of Health Sciences,https://scuhs.edu,Whittier,CA
San Diego City College,https://sdcity.edu,San Diego,CA
San Diego Mesa College,https://sdmesa.edu,San Diego,CA
San Diego State University,https://sdsu.edu,San Diego,CA
San Francisco State University,https://sfsu.edu,San Francisco,CA
Shasta College,https://shastacollege.edu,Redding,CA
The Institute of Buddhist Studies,https://shin-ibs.edu,Berkeley,CA
Sierra College,https://sierracollege.edu,Rocklin,CA
Simpson University,https://simpsonu.edu,Redding,CA
College of the Siskiyous,https://siskiyous.edu,Weed,CA
San Jose State University,https://sjsu.edu,San Jose,CA
Starr King School for the Ministry,https://sksm.edu,Berkeley,CA
Skyline College,https://skylinecollege.edu,San Bruno,CA
Santa Monica College,https://smc.edu,Santa Monica,CA
San Mateo County Community College,https://smccd.edu,San Mateo,CA
Soka University of America,https://soka.edu,Aliso Viejo,CA
Solano Community College,https://solano.edu,(multiple locations),CA
Sonoma State University,https://sonoma.edu,Rohnert Park,CA
Stanford University,https://stanford.edu,Stanford,CA
Saint Mary's College,https://stmarys-ca.edu,Moraga,CA
Taft College,https://taftcollege.edu,Taft,CA
Touro University California,https://tu.edu,Vallejo,CA
University of California Davis,https://ucdavis.edu,Davis,CA
University of California Hastings College of the Law,https://uchastings.edu,San Francisco,CA
University of California Irvine,https://uci.edu,Irvine,CA
University of California Los Angeles,https://ucla.edu,Los Angeles,CA
University of California Los Angeles Extension,https://uclaextension.edu,Los Angeles,CA
University of California Merced,https://ucmerced.edu,Merced,CA
University of California,https://ucop.edu,Oakland,CA
University of California Press,https://ucpress.edu,(multiple locations),CA
University of California Riverside,https://ucr.edu,Riverside,CA
University of California Santa Barbara,https://ucsb.edu,Santa Barbara,CA
University of California Santa Cruz,https://ucsc.edu,Santa Cruz,CA
University of California Santa Cruz Silicon Valley Extension,https://ucsc-extension.edu,Santa Clara,CA
University of California San Diego,https://ucsd.edu,La Jolla,CA
University of California San Francisco,https://ucsf.edu,San Francisco,CA
University of California,https://universityofcalifornia.edu,Berkeley,CA
University of the Pacific,https://uop.edu,Stockton,CA
University of Southern California,https://usc.edu,Los Angeles,CA
University of San Francisco,https://usfca.edu,San Francisco,CA
San Bernardino Valley College,https://valleycollege.edu,San Bernardino,CA
Ventura College,https://venturacollege.edu,Ventura,CA
Victor Valley College,https://vvc.edu,Victorville,CA
West Coast Baptist College,https://wcbc.edu,Lancaster,CA
Western University of Health Sciences,https://westernu.edu,Pamona,CA
Westmont College,https://westmont.edu,Santa Barbara,CA
West Valley College,https://westvalley.edu,Saratoga,CA
West Hills Community College District,https://whccd.edu,Coalinga,CA
Whittier College,https://whittier.edu,Whittier,CA
West Los Angeles College,https://wlac.edu,Culver City,CA
Yuba Community College District,https://yccd.edu,Marysville,CA
Yosemite Community College District,https://yosemite.edu,Modesto,CA
Unitek College,https://unitekcollege.edu,Fremont,CA
Vanguard University,https://vanguard.edu,Costa Mesa,CA
Southwestern College,https://swcc.edu,Chula Vista,CA
Monterey Institute of International Studies,https://miis.edu,Monterey,CA
Adams State University,https://adams.edu,Alamosa,CO
Auraria Higher Education Center,https://ahec.edu,Denver,CO
Aims Community College,https://aims.edu,Greeley,CO
Arapahoe Community College,https://arapahoe.edu,Littleton,CO
Community College of Aurora,https://ccaurora.edu,(multiple locations),CO
Community College of Denver,https://ccd.edu,Denver,CO
Colorado Heights University,https://chu.edu,Denver,CO
University of Colorado Boulder,https://colorado.edu,Boulder,CO
Colorado College,https://coloradocollege.edu,Colorado Springs,CO
Colorado Mesa University,https://coloradomesa.edu,Grand Junction,CO
Colorado State University,https://colostate.edu,Fort Collins,CO
Colorado State University-Pueblo,https://colostate-pueblo.edu,Pueblo,CO
University of Denver,https://du.edu,Denver,CO
Fort Lewis College,https://fortlewis.edu,Durango,CO
Front Range Community College,https://frontrange.edu,Westminster,CO
Jones International University,https://jiu.edu,Centennial,CO
Colorado School of Mines,https://mines.edu,Golden,CO
Metropolitan State University of Denver,https://msudenver.edu,Denver,CO
Naropa University,https://naropa.edu,Boulder,CO
Pikes Peak Community College,https://ppcc.edu,Colorado Springs,CO
Pueblo Community College,https://pueblocc.edu,(multiple locations),CO
Redstone College,https://redstone.edu,Denver,CO
Regis University,https://regis.edu,Denver,CO
University of the Rockies,https://rockies.edu,Colorado Springs,CO
Red Rocks Community College,https://rrcc.edu,Lakewood,CO
William Howard Taft University,https://taft.edu,Denver,CO
University Corporation for Atmospheric Research,https://ucar.edu,Boulder,CO
University of Colorado Colorado Springs,https://uccs.edu,Colorado Springs,CO
University of Colorado Denver,https://ucdenver.edu,(multiple locations),CO
University of Northern Colorado,https://unco.edu,Greeley,CO
University of Colorado,https://cu.edu,Denver,CO
Western State Colorado University,https://western.edu,Gunnison,CO
Albertus Magnus College,https://albertus.edu,New Haven,CT
Asnuntuck Community College,https://asnuntuck.edu,Enfield,CT
Connecticut College,https://conncoll.edu,New London,CT
Eastern Connecticut State University,https://easternct.edu,Willimantic,CT
Fairfield University,https://fairfield.edu,Fairfield,CT
Goodwin College,https://goodwin.edu,East Hartfod,CT
University of Hartford,https://hartford.edu,West Hartford,CT
Hartford Seminary,https://hartsem.edu,Hartford,CT
University of New Haven,https://newhaven.edu,West Haven,CT
Queens University of Charlotte,https://quinnipiac.edu,Hamden,CT
Quinebaug Valley Community College,https://qvcc.edu,Danielson,CT
Sacred Heart University,https://sacredheart.edu,Fairfield,CT
Southern Connecticut State University,https://southernct.edu,New Haven,CT
Three Rivers Community College,https://threerivers.edu,Norwich,CT
Trinity College,https://trincoll.edu,Hartford,CT
Tunxis Community College,https://tunxis.edu,Farmington,CT
University of Connecticut Health Center,https://uchc.edu,Farmington,CT
University of Connecticut,https://uconn.edu,Storrs,CT
University of Saint Joseph Connecticut,https://usj.edu,West Hartford,CT
Western Connecticut State University,https://wcsu.edu,Danbury,CT
Wesleyan University,https://wesleyan.edu,Middletown,CT
Yale University,https://yale.edu,New Haven,CT
American University,https://american.edu,Washington,DC
Carnegie Institution for Science,https://carnegiescience.edu,Washington,DC
The Catholic University of America,https://cua.edu,Washington,DC
Gallaudet University,https://gallaudet.edu,Washington,DC
Georgetown University,https://georgetown.edu,Washington,DC
The George Washington University,https://gwu.edu,Washington,DC
Howard University,https://howard.edu,Washington,DC
Johns Hopkins School of Advanced International Studies,https://sais-jhu.edu,Washington,DC
University of California Washington Center,https://ucdc.edu,Washington,DC
University of the District of Columbia,https://udc.edu,Washington,DC
Delaware State University,https://desu.edu,Dover,DE
Delaware Technical Community College,https://dtcc.edu,Dover,DE
Goldey-Beacom College,https://gbc.edu,Wilmington,DE
University of Delaware,https://udel.edu,Newark,DE
Wesley College,https://wesley.edu,Dover,DE
Wilmington University,https://wilmu.edu,New Castle,DE
