school_name,url,city,state,full_domain
University of Alaska,https://alaska.edu,Anchorage,AK,alaska.edu
Alaska Christian College,https://alaskacc.edu,Soldotna,AK,alaskacc.edu
National Park Community College,https://npcc.edu,Hot Springs National Park,AK,npcc.edu
University of Alaska Fairbanks,https://uaf.edu,Fairbanks,AK,uaf.edu
University of Arkansas - Fort Smith,https://uafs.edu,Fort Smith,AK,uafs.edu
Alabama A&M University,https://aamu.edu,Huntville,AL,aamu.edu
Athens State University,https://athens.edu,Athens,AL,athens.edu
Auburn University,https://auburn.edu,Auburn,AL,auburn.edu
Auburn University at Montgomery,https://aum.edu,Montgomery,AL,aum.edu
Birmingham-Southern College,https://bsc.edu,Birmingham,AL,bsc.edu
Calhoun Community College,https://calhoun.edu,Decatur,AL,calhoun.edu
Enterprise State Community College,https://escc.edu,Enterprise,AL,escc.edu
Faulkner State Community College,https://faulknerstate.edu,Bay Minette,AL,faulknerstate.edu
Gadsden State Community College,https://gadsdenstate.edu,Gadsden,AL,gadsdenstate.edu
Huntingdon College,https://huntingdon.edu,Montgomery,AL,huntingdon.edu
Jacksonville State University,https://jsu.edu,Jacksonville,AL,jsu.edu
Lurleen B. Wallace Community College,https://lbwcc.edu,Andalusia,AL,lbwcc.edu
University of Montevallo,https://montevallo.edu,Montevallo,AL,montevallo.edu
Northeast Alabama Community College,https://nacc.edu,Rainsville,AL,nacc.edu
Northwest-Shoals Community College,https://nwscc.edu,Muscle Shoals,AL,nwscc.edu
Oakwood University,https://oakwood.edu,Huntsville,AL,oakwood.edu
Samford University,https://samford.edu,Birmingham,AL,samford.edu
Southeastern Bible College,https://sebc.edu,Birmingham,AL,sebc.edu
University of South Alabama,https://southalabama.edu,Mobile,AL,southalabama.edu
Trenholm State Technical College,https://trenholmstate.edu,Montgomery,AL,trenholmstate.edu
Troy University,https://troy.edu,Troy,AL,troy.edu
Tuskegee University,https://tuskegee.edu,Tuskegee,AL,tuskegee.edu
University of Alabama,https://ua.edu,Tuscaloosa,AL,ua.edu
University of Alabama at Birmingham,https://uab.edu,Birmingham,AL,uab.edu
University of Alabama in Huntsville,https://uah.edu,Huntsville,AL,uah.edu
University of North Alabama,https://una.edu,Florence,AL,una.edu
Snead State Community College,https://snead.edu,Boaz,AL,snead.edu
Arkansas Northeastern College,https://anc.edu,Blytheville,AR,anc.edu
Arkansas State University,https://astate.edu,Jonesboro,AR,astate.edu
Arkansas Tech University,https://atu.edu,Russellville,AR,atu.edu
Central Baptist College,https://cbc.edu,Conway,AR,cbc.edu
Harding University,https://harding.edu,Searcy,AR,harding.edu
Hendrix College,https://hendrix.edu,Conway,AR,hendrix.edu
Henderson State University,https://hsu.edu,Arkadelphia,AR,hsu.edu
John Brown University,https://jbu.edu,Siloam Springs,AR,jbu.edu
Lyon College,https://lyon.edu,Batesville,AR,lyon.edu
Mid-South Community College,https://midsouthcc.edu,West Memphis,AR,midsouthcc.edu
North Arkansas College,https://northark.edu,Harrison,AR,northark.edu
Northwest Arkansas Community College,https://nwacc.edu,Bentonville,AR,nwacc.edu
Northwest Technical Institute,https://nwti.edu,Springdale,AR,nwti.edu
Ouachita Baptist University,https://obu.edu,Arkadelphia,AR,obu.edu
